"file_name","nodc_sd2","year","description","ship_name","ship_shorthand","ship_code","basin_name","sub_basin_name"
"natl.1967.AN.67W_66W.joa","A1967ANE.TXT",1967,"A section of 8 stations from 36.15 degrees North to 36.941 degrees North, 67.483 degrees West to 66.7 degrees West. All have temperature, salinity, oxygen, silicate. None have phosphate, nitrate. ","Atlantis II 4/63-Present","AN","31AN","Atlantic","Central-Western"
"natl.1967.GI.32N_34N.joa","A1967GIA.TXT",1967,"A section of 5 stations from 32.5 degrees North to 34.453 degrees North, 28.75 degrees West to 25.766 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There is at least 1 full depth cast. ","Gilliss","GI","31GI","Atlantic","South-Eastern"
"natl.1967.GI.32N_35N.joa","A1967GIB.TXT",1967,"A section of 6 stations from 32.5 degrees North to 35.166 degrees North, 29.516 degrees West to 25.75 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. ","Gilliss","GI","31GI","Atlantic","South-Eastern"
"natl.1967.GI.33N_35N.joa","A1967GIC.TXT",1967,"A section of 6 stations from 33.033 degrees North to 35.5 degrees North, 29.483 degrees West to 25.75 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. There is at least 1 full depth cast. ","Gilliss","GI","31GI","Atlantic","South-Eastern"
"natl.1967.GI.33N_36N.joa","A1967GID.TXT",1967,"A section of 6 stations from 33.5 degrees North to 36 degrees North, 29.516 degrees West to 25.75 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. ","Gilliss","GI","31GI","Atlantic","South-Eastern"
"natl.1967.GI.34N_36N.joa","A1967GIE.TXT",1967,"A section of 9 stations from 34.033 degrees North to 36.5 degrees North, 29.466 degrees West to 25.75 degrees West. All have temperature, salinity. Most have oxygen. None have phosphate, silicate, nitrate. ","Gilliss","GI","31GI","Atlantic","South-Eastern"
"natl.1967.GI.34N_37N.joa","A1967GIF.TXT",1967,"A section of 10 stations from 34.453 degrees North to 37 degrees North, 29.516 degrees West to 25.766 degrees West. All have temperature, salinity. Most have oxygen. None have phosphate, silicate, nitrate. There are at least 2 full depth casts. ","Gilliss","GI","31GI","Atlantic","South-Eastern"
"natl.1967.GI.35N_37N.joa","A1967GIG.TXT",1967,"A section of 5 stations from 35.166 degrees North to 37 degrees North, 29.516 degrees West to 26.5 degrees West. All have temperature, salinity, oxygen. None have phosphate, silicate, nitrate. ","Gilliss","GI","31GI","Atlantic","South-Eastern"
"natl.1967.HU.46N.joa","A1967HUA.TXT",1967,"A section of 8 stations along 46N, 48 degrees West to 46.166 degrees West. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. There are at least 4 full depth casts. ","Humboldt","HU","31HU","Atlantic","Central-Western"
"natl.1967.HU.46W.joa","A1967HUB.TXT",1967,"A section of 6 stations from 47 degrees North to 48.583 degrees North, along 46W. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. There is at least 1 full depth cast. ","Humboldt","HU","31HU","Atlantic","Central-Western"
"natl.1967.HU.55N_61N.joa","A1967HUC.TXT",1967,"A section of 26 stations from 55.833 degrees North to 61.233 degrees North, 40.445 degrees West to 22.253 degrees West. All have temperature, salinity, oxygen, silicate. None have phosphate, nitrate. There are at least 11 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1967.HU.59W_58W.joa","A1967HUD.TXT",1967,"A section of 8 stations from 47.241 degrees North to 50.016 degrees North, 59.983 degrees West to 58.755 degrees West. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. There is at least 1 full depth cast. ","Hudson","HU","18HU","Atlantic","Central-Western"
"natl.1967.HU.60N_62N.joa","A1967HUE.TXT",1967,"A section of 14 stations from 60.143 degrees North to 62.933 degrees North, 40.391 degrees West to 30.166 degrees West. All have temperature, salinity, silicate. Most have oxygen. None have phosphate, nitrate. There are at least 12 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1967.HU.61N_63N.joa","A1967HUF.TXT",1967,"A section of 13 stations from 61.401 degrees North to 63.828 degrees North, 37.658 degrees West to 28.285 degrees West. All have temperature, salinity, silicate. Most have oxygen. None have phosphate, nitrate. There are at least 10 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1967.HU.62N_64N.joa","A1967HUG.TXT",1967,"A section of 13 stations from 62.366 degrees North to 64.828 degrees North, 35.558 degrees West to 25.985 degrees West. All have temperature, salinity, silicate. Some have oxygen. None have phosphate, nitrate. There are at least 9 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1967.HU.64N_65N.joa","A1967HUH.TXT",1967,"A section of 13 stations from 64.326 degrees North to 65.618 degrees North, 31.936 degrees West to 26.971 degrees West. All have temperature, salinity, oxygen, silicate. None have phosphate, nitrate. There are at least 9 full depth casts. ","Hudson","HU","18HU","Atlantic","North-Western"
"natl.1967.HU.64W_61W.joa","A1967HUI.TXT",1967,"A section of 10 stations from 46.091 degrees North to 49.94 degrees North, 64.131 degrees West to 61.635 degrees West. All have temperature, salinity. None have oxygen, phosphate, silicate, nitrate. ","Hudson","HU","18HU","Atlantic","Central-Western"
